127.0.0.1, 2015-08-05 16:36:45, GET, /admin/static/_2.11.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.005526
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/default/editor_sessions, HTTP/1.1, 303, 0.083558
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 200, 0.001464
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 200, 0.003929
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/default/files_menu, HTTP/1.1, 303, 0.104946
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 200, 0.001589
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.004257
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.123043
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001362
127.0.0.1, 2015-08-05 16:36:45, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002264
